id,region,t_round,team1,team2,parent_game1,parent_game2
1,1,1,1,16,,
2,1,1,8,9,,
3,1,1,5,12,,
4,1,1,4,13,,
5,1,1,6,11,,
6,1,1,3,14,,
7,1,1,7,10,,
8,1,1,2,15,,
9,2,1,17,32,,
10,2,1,24,25,,
11,2,1,21,28,,
12,2,1,20,29,,
13,2,1,22,27,,
14,2,1,19,30,,
15,2,1,23,26,,
16,2,1,18,31,,
17,3,1,33,48,,
18,3,1,40,41,,
19,3,1,37,44,,
20,3,1,36,45,,
21,3,1,38,43,,
22,3,1,35,46,,
23,3,1,39,42,,
24,3,1,34,47,,
25,4,1,49,64,,
26,4,1,56,57,,
27,4,1,53,60,,
28,4,1,52,61,,
29,4,1,54,59,,
30,4,1,51,62,,
31,4,1,55,58,,
32,4,1,50,63,,
33,1,2,,,1,2
34,1,2,,,3,4
35,1,2,,,5,6
36,1,2,,,7,8
37,2,2,,,9,10
38,2,2,,,11,12
39,2,2,,,13,14
40,2,2,,,15,16
41,3,2,,,17,18
42,3,2,,,19,20
43,3,2,,,21,22
44,3,2,,,23,24
45,4,2,,,25,26
46,4,2,,,27,28
47,4,2,,,29,30
48,4,2,,,31,32
49,1,3,,,33,34
50,1,3,,,35,36
51,2,3,,,37,38
52,2,3,,,39,40
53,3,3,,,41,42
54,3,3,,,43,44
55,4,3,,,45,46
56,4,3,,,47,48
57,1,4,,,49,50
58,2,4,,,51,52
59,3,4,,,53,54
60,4,4,,,55,56
61,5,5,,,57,58
62,5,5,,,59,60
63,5,6,,,61,62
